,Frequency,Significance of Meat Source,Are you worried about the impact of meat consumption on the environment?,How often do you purchase from local farmers?,Do you want to decrease your meat consumption?,Does anyone you know live in the countryside?,"Does anyone you know use ""tezek""?","How do you process ""tezek""?","Do you add other materials to ""tezek""?","How much did u save by using ""tezeks?",Do you think feeding livestock leftovers decreases monthly expenditure?,Do you know of other sustainable practices?,How often do you here of these practices from your relatives?,"Did you witness or help with these pratcies, how?",Are these practices taught at any seasons or festivals?,Who are responsible for dung and composting?,How are these practices passed to other generations?,Do you think these practices should be spread wider?,Would you support events and festivals to support these practices?,Reasons_0.0,Reasons_1.0,Reasons_2.0,Reasons_nan,What do you feed your livestock?_0.0,What do you feed your livestock?_1.0,What do you feed your livestock?_4.0,What do you feed your livestock?_nan,Meat_Beef,Meat_Chicken,Meat_Fish,Meat_Horse,Meat_Lamb,Meat_Pork,Meat_nan
Frequency,1.0,-0.010991236366389996,-8.768316229765607e-18,0.14340333374448533,0.09629500128629348,-5.623855044801858e-17,-0.011396928338377924,-0.22360679774997896,-0.029648056241230097,,0.016463472245165943,,0.03168496501298378,,0.01375591834096821,0.21906675155232422,-0.07202769107260082,-0.15153203133905097,0.2276947068292811,-0.22484562605386735,0.06329621044272912,0.10232343558582002,0.05429406786186371,-0.13165611772087665,-0.08144110179279561,0.19978058139307323,-0.09201218050333443,0.17176596315711334,-0.07017294652672357,-0.09217771979249532,-0.09107288747664331,0.09201218050333444,-0.1628822035855911,-6.022187504336298e-17
Significance of Meat Source,-0.010991236366389996,1.0,-0.0011671469600083328,0.20892110536349554,0.00871624451797219,0.15357192722141444,-0.024169033703222213,-0.14746291003209447,-0.07897526065174704,,-0.09026407047040291,,-0.10406736786882317,,-0.05087251915034023,0.09316510798867073,0.14455024492783855,-0.10249380760164449,0.04710863702845167,-0.22013540396818532,0.08315704327458372,0.028730837325111596,0.1404138666264851,-0.0034048553151797404,-0.14743455995780927,0.21552403116631072,-0.12577856170240748,-0.05219544360925971,-0.03992546757559482,-0.0023838755434215844,0.055181376733905746,0.22980083165088508,-0.2190456319373166,0.0
Are you worried about the impact of meat consumption on the environment?,-8.768316229765607e-18,-0.0011671469600083328,1.0,0.13874252253097474,0.09373335848038725,-0.04544647683897571,-0.26382947111624155,-0.2018287003405367,0.10389368761019245,,-0.13286604996569895,,-0.026916724823392527,,0.01460725412372906,0.0017231444896107393,0.2294561718157633,0.16833677276563172,0.04119324435105874,0.023876102757866894,-0.024196870824018515,0.06519365945770378,-0.10954308766022348,0.1048531069040802,-0.21332074965411935,0.11213364834293092,-0.04187429739930643,0.01823963338144142,0.08941903001624518,-0.009788247823082878,-0.10223551324828938,0.08933183445185365,0.17872819565615408,-3.623772590808396e-17
How often do you purchase from local farmers?,0.14340333374448533,0.20892110536349554,0.13874252253097474,1.0,0.0992805661968785,0.41216477481734387,-0.10511162077644895,-0.21377306830183915,-0.06002301323345501,,-0.1722080493034456,,-0.028509675999619004,,-0.16864176927096464,-0.060229006943261054,0.13285943588733562,-0.044574766078140995,0.0436310902432371,-0.036127296755171553,0.21642147667666511,-0.1545446551955626,-0.1160259265449969,-0.014807785246298142,0.08549278798052395,0.1733397058841035,-0.19515077340780174,0.01931906803181381,-0.03946288027688495,-0.1866154209205958,0.14047898544281862,0.14488466510579215,-0.2259452253770993,-7.676460129388512e-17
Do you want to decrease your meat consumption?,0.09629500128629348,0.00871624451797219,0.09373335848038725,0.0992805661968785,1.0,-0.1757575757575758,-0.049063240826056675,0.1435481125130547,0.13770981666976426,,0.009325588711912377,,0.2620359688326425,,-0.05610181444253689,0.11213917389746646,0.06201516493421722,0.04489777585448792,0.21209330646255967,-0.36389092184999416,0.13194117582870826,0.1887846775116664,-0.018452637651516265,-0.02237263416225925,0.024603516868688346,-0.0678983694431381,0.059565129680156384,-0.21891445998294257,-0.05962327037694581,-0.1044265134821876,-0.18866261656115274,-0.00893476945202344,-0.07996142982323716,0.0
Does anyone you know live in the countryside?,-5.623855044801858e-17,0.15357192722141444,-0.04544647683897571,0.41216477481734387,-0.1757575757575758,1.0,0.18075930830652456,0.11962342709421223,-0.3470735216880237,,-0.3263956049169334,,0.015953483642778765,,-0.2883009908852588,0.03370303040634232,-0.04351941398892468,0.07482962642414656,-0.11464503052030259,-0.15162121743749749,0.25814577879529876,-0.1324804754467834,-0.051257326809767474,-0.273443306427613,0.18452637651516254,0.17782906282726638,-0.14394906339371136,-0.05675560073631825,-0.0529984625572851,-0.1914486080506773,0.33900313913332136,0.31271693082082097,-0.33829835694446475,-3.221703074868693e-17
"Does anyone you know use ""tezek""?",-0.011396928338377924,-0.024169033703222213,-0.26382947111624155,-0.10511162077644895,-0.049063240826056675,0.18075930830652456,1.0,-2.829326384213494e-17,0.09699624994618082,,-0.10948938192470431,,0.0781699702598661,,0.03910158317511248,0.19842958768731436,0.07571543951647894,0.14878766664590806,0.08412614688585625,0.08441339487687316,-0.1317159347334539,0.12386911751791535,-0.09026989938466534,-0.2895034771667255,0.08735796714645029,-0.2540927092053997,0.30737083372781043,0.025333703651547013,-0.0357537995630589,0.04943731138212482,0.06559153625627125,0.05216844425655501,-0.20965912115148075,-2.745377577087836e-17
"How do you process ""tezek""?",-0.22360679774997896,-0.14746291003209447,-0.2018287003405367,-0.21377306830183915,0.1435481125130547,0.11962342709421223,-2.829326384213494e-17,1.0,-0.19888520746838229,,0.07362688617174394,,0.09446631417831276,,-0.06151833700668176,0.07257009601200805,-0.12884705080055198,0.1042572070285374,-0.07542827297587533,-0.4309458036856674,0.3396831102433787,3.62887747884851e-18,5.054507916967568e-18,-0.2943920288775949,0.24281045302822785,-1.417034618468289e-17,1.3052764606530325e-17,-0.19204018492001482,3.7018931482149565e-17,0.0,0.11636866703140786,0.0,-1.6848359723225226e-18,0.0
"Do you add other materials to ""tezek""?",-0.029648056241230097,-0.07897526065174704,0.10389368761019245,-0.06002301323345501,0.13770981666976426,-0.3470735216880237,0.09699624994618082,-0.19888520746838229,1.0,,0.31296461567362555,,-0.28071411373578165,,0.2787680656492263,0.2513060650587765,0.08240444467736761,0.05529390999985264,0.15707523847778793,0.20614913968041962,-0.18103763268134962,0.07749933242062694,-0.10415793736982766,0.22501653076686773,-0.011362684076708473,-0.1801818773548899,0.08161022686294318,-0.06440548772014118,0.20437769099682465,0.15754308330496042,-0.08259233686932618,-0.22190645955991278,0.18180294522733545,-3.5709230764759154e-17
"How much did u save by using ""tezeks?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you think feeding livestock leftovers decreases monthly expenditure?,0.016463472245165943,-0.09026407047040291,-0.13286604996569895,-0.1722080493034456,0.009325588711912377,-0.3263956049169334,-0.10948938192470431,0.07362688617174394,0.31296461567362555,,1.0,,-0.3289429112412322,,0.2872174751043933,0.12257723396670442,0.08147321428571468,0.015352267028948225,0.03136121713991163,0.09083260499189573,0.09611613136669064,-0.23329573284720415,0.07361273123819558,-0.040800316988309535,0.16405122961654997,-0.0674400018387112,-0.0010183798184429096,0.13806630933494632,0.07611324708263108,-0.028565935650379713,0.04435128876059727,-0.2067311031439121,0.16405122961654994,7.93168934662603e-17
Do you know of other sustainable practices?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How often do you here of these practices from your relatives?,0.03168496501298378,-0.10406736786882317,-0.026916724823392527,-0.028509675999619004,0.2620359688326425,0.015953483642778765,0.0781699702598661,0.09446631417831276,-0.28071411373578165,,-0.3289429112412322,,1.0,,-0.0051277151924122195,-0.07258690048045435,-0.06229049531900217,0.059092764447067285,0.14586176262573916,-0.06944623463876913,-0.13590470716228575,0.2550100126089194,-0.06476444764670976,-0.24538349904301585,0.10929000540382272,-0.09362077048584114,0.13131561831334895,-0.1696747777952322,-0.03138956266669032,-0.054976900265446604,0.0523780261108433,0.0352788228304519,-0.16595889709469366,-5.08834134337399e-17
"Did you witness or help with these pratcies, how?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are these practices taught at any seasons or festivals?,0.01375591834096821,-0.05087251915034023,0.01460725412372906,-0.16864176927096464,-0.05610181444253689,-0.2883009908852588,0.03910158317511248,-0.06151833700668176,0.2787680656492263,,0.2872174751043933,,-0.0051277151924122195,,1.0,0.22689613896093572,-0.28721747510439316,0.0897922199629974,-0.032754507647730864,-0.0020792995437451177,0.04589088011294436,0.02649511198655726,-0.1441009662126023,0.25993905663974914,0.0527198656875374,-0.05912019606059575,-0.07487909891851396,0.015288696583774592,0.2100932524715834,0.18199374203683466,0.2543481972221012,0.031483257499829734,-0.03690390598127618,1.656814390872977e-17
Who are responsible for dung and composting?,0.21906675155232422,0.09316510798867073,0.0017231444896107393,-0.060229006943261054,0.11213917389746646,0.03370303040634232,0.19842958768731436,0.07257009601200805,0.2513060650587765,,0.12257723396670442,,-0.07258690048045435,,0.22689613896093572,1.0,-0.08250390747758954,0.045395733144028526,-0.03670690702083707,-0.15452925772664888,0.255208654272202,-0.08036988286013357,-0.13682015772617953,-0.1658856252769313,0.11194376541232885,0.05230584708304336,-0.03613545678182465,0.04918720467462098,-0.03215175831103631,0.24284480717917592,0.0029805477667972534,0.08732735388940958,-0.09950556925540333,-7.817843281860452e-17
How are these practices passed to other generations?,-0.07202769107260082,0.14455024492783855,0.2294561718157633,0.13285943588733562,0.06201516493421722,-0.04351941398892468,0.07571543951647894,-0.12884705080055198,0.08240444467736761,,0.08147321428571468,,-0.06229049531900217,,-0.28721747510439316,-0.08250390747758954,1.0,0.05373293460131838,0.24353945185212564,0.11540717963011438,-0.008581797443454584,-0.1565686168258544,0.11409973341920296,-0.3168399616123412,-0.11041909685729316,0.2224967273777151,-0.024950305551851418,0.11644146570417194,0.04519224045531237,-0.062487984235205754,-0.08290667046725303,-0.15683049204020935,-0.1104190968572932,-1.3880456356595555e-16
Do you think these practices should be spread wider?,-0.15153203133905097,-0.10249380760164449,0.16833677276563172,-0.044574766078140995,0.04489777585448792,0.07482962642414656,0.14878766664590806,0.1042572070285374,0.05529390999985264,,0.015352267028948225,,0.059092764447067285,,0.0897922199629974,0.045395733144028526,0.05373293460131838,1.0,0.09436729285741036,0.2396224313223257,0.023609608232494264,-0.1908341913588904,-0.10125895868022772,-0.12276996280897019,-0.15188843802034135,-0.1330688233872044,0.24514800210295726,-0.08008629326801818,0.22902813515596096,-0.08595616691913029,-0.04852908884131366,-0.3186924027338445,0.15188843802034144,-1.1231437607836667e-16
Would you support events and festivals to support these practices?,0.2276947068292811,0.04710863702845167,0.04119324435105874,0.0436310902432371,0.21209330646255967,-0.11464503052030259,0.08412614688585625,-0.07542827297587533,0.15707523847778793,,0.03136121713991163,,0.14586176262573916,,-0.032754507647730864,-0.03670690702083707,0.24353945185212564,0.09436729285741036,1.0,0.07648352404284828,-0.09947252259248858,-0.027845084943391243,0.13574478909903218,-0.23511687158224587,-0.07110441333758825,-0.135914788901525,0.2535209118384762,-0.12781111315133348,0.08354514241437463,0.02194863151303927,-0.03407730473277232,-0.04068854140617526,-0.07110441333758832,-6.094312081203615e-17
Reasons_0.0,-0.22484562605386735,-0.22013540396818532,0.023876102757866894,-0.036127296755171553,-0.36389092184999416,-0.15162121743749749,0.08441339487687316,-0.4309458036856674,0.20614913968041962,,0.09083260499189573,,-0.06944623463876913,,-0.0020792995437451177,-0.15452925772664888,0.11540717963011438,0.2396224313223257,0.07648352404284828,1.0,-0.48795003647426677,-0.2817180849095055,-0.12073632210407385,0.15614401167176542,-0.12073632210407392,-0.29617443887954614,0.26891849420908714,-0.006366070140792575,0.20806259464411964,-0.06832667180756569,0.015430334996209103,-0.16758688769551808,0.2978162611900489,-0.06832667180756567
Reasons_1.0,0.06329621044272912,0.08315704327458372,-0.024196870824018515,0.21642147667666511,0.13194117582870826,0.25814577879529876,-0.1317159347334539,0.3396831102433787,-0.18103763268134962,,0.09611613136669064,,-0.13590470716228575,,0.04589088011294436,0.255208654272202,-0.008581797443454584,0.023609608232494264,-0.09947252259248858,-0.48795003647426677,1.0,-0.5773502691896258,-0.24743582965269673,-0.19999999999999998,0.24743582965269673,0.3468439878096479,-0.35942537872389224,0.06523280730534427,-0.1066003581778051,-0.14002800840280097,1.974843826074394e-17,0.11980845957463074,-0.24743582965269675,-0.1400280084028009
Reasons_2.0,0.10232343558582002,0.028730837325111596,0.06519365945770378,-0.1545446551955626,0.1887846775116664,-0.1324804754467834,0.12386911751791535,3.62887747884851e-18,0.07749933242062694,,-0.23329573284720415,,0.2550100126089194,,0.02649511198655726,-0.08036988286013357,-0.1565686168258544,-0.1908341913588904,-0.027845084943391243,-0.2817180849095055,-0.5773502691896258,1.0,-0.14285714285714288,0.11547005383792511,-0.1428571428571428,-0.15018785229652773,0.1614000415687508,0.1883108942886774,0.12309149097933283,0.2425356250363331,0.0912870929175277,0.02305714879553582,0.0476190476190476,-0.08084520834544431
Reasons_nan,0.05429406786186371,0.1404138666264851,-0.10954308766022348,-0.1160259265449969,-0.018452637651516265,-0.051257326809767474,-0.09026989938466534,5.054507916967568e-18,-0.10415793736982766,,0.07361273123819558,,-0.06476444764670976,,-0.1441009662126023,-0.13682015772617953,0.11409973341920296,-0.10125895868022772,0.13574478909903218,-0.12073632210407385,-0.24743582965269673,-0.14285714285714288,1.0,-0.049487165930539354,-0.061224489795918394,0.03575901245155417,0.016469391996811304,-0.4788477026197794,-0.35168997422666487,-0.03464794643376186,-0.19561519910898786,-0.0164693919968113,-0.06122448979591836,0.5659164584181102
What do you feed your livestock?_0.0,-0.13165611772087665,-0.0034048553151797404,0.1048531069040802,-0.014807785246298142,-0.02237263416225925,-0.273443306427613,-0.2895034771667255,-0.2943920288775949,0.22501653076686773,,-0.040800316988309535,,-0.24538349904301585,,0.25993905663974914,-0.1658856252769313,-0.3168399616123412,-0.12276996280897019,-0.23511687158224587,0.15614401167176542,-0.19999999999999998,0.11547005383792511,-0.049487165930539354,1.0,-0.04948716593053935,-0.12139539573337683,-0.2635786110641877,0.06523280730534417,0.08528028654224415,-0.028005601680560203,0.04743416490252571,-0.1517573821278657,0.37940160546746826,-0.02800560168056019
What do you feed your livestock?_1.0,-0.08144110179279561,-0.14743455995780927,-0.21332074965411935,0.08549278798052395,0.024603516868688346,0.18452637651516254,0.08735796714645029,0.24281045302822785,-0.011362684076708473,,0.16405122961654997,,0.10929000540382272,,0.0527198656875374,0.11194376541232885,-0.11041909685729316,-0.15188843802034135,-0.07110441333758825,-0.12073632210407392,0.24743582965269673,-0.1428571428571428,-0.061224489795918394,-0.04948716593053935,1.0,-0.15018785229652762,-0.32609396153686393,0.08070466898086158,-0.35168997422666515,-0.034647946433761866,-0.02608202654786511,-0.1877510687636489,-0.061224489795918394,-0.03464794643376186
What do you feed your livestock?_4.0,0.19978058139307323,0.21552403116631072,0.11213364834293092,0.1733397058841035,-0.0678983694431381,0.17782906282726638,-0.2540927092053997,-1.417034618468289e-17,-0.1801818773548899,,-0.0674400018387112,,-0.09362077048584114,,-0.05912019606059575,0.05230584708304336,0.2224967273777151,-0.1330688233872044,-0.135914788901525,-0.29617443887954614,0.3468439878096479,-0.15018785229652773,0.03575901245155417,-0.12139539573337683,-0.15018785229652762,1.0,-0.7999307449247715,0.05090761579905904,-0.2218421599939606,-0.08499377746907325,0.14395723049060893,0.07964678412670884,-0.15018785229652762,-0.0849937774690732
What do you feed your livestock?_nan,-0.09201218050333443,-0.12577856170240748,-0.04187429739930643,-0.19515077340780174,0.059565129680156384,-0.14394906339371136,0.30737083372781043,1.3052764606530325e-17,0.08161022686294318,,-0.0010183798184429096,,0.13131561831334895,,-0.07487909891851396,-0.03613545678182465,-0.024950305551851418,0.24514800210295726,0.2535209118384762,0.26891849420908714,-0.35942537872389224,0.1614000415687508,0.016469391996811304,-0.2635786110641877,-0.32609396153686393,-0.7999307449247715,1.0,-0.11202133758340896,0.3405766587569795,0.10625141989893923,-0.13891812557774844,0.07814992025518341,0.016469391996811304,0.10625141989893924
Meat_Beef,0.17176596315711334,-0.05219544360925971,0.01823963338144142,0.01931906803181381,-0.21891445998294257,-0.05675560073631825,0.025333703651547013,-0.19204018492001482,-0.06440548772014118,,0.13806630933494632,,-0.1696747777952322,,0.015288696583774592,0.04918720467462098,0.11644146570417194,-0.08008629326801818,-0.12781111315133348,-0.006366070140792575,0.06523280730534427,0.1883108942886774,-0.4788477026197794,0.06523280730534417,0.08070466898086158,0.05090761579905904,-0.11202133758340896,1.0,0.22252289995819002,0.045672100447455156,0.12377054955105524,-0.0234463264709459,0.08070466898086162,-0.4293177442060786
Meat_Chicken,-0.07017294652672357,-0.03992546757559482,0.08941903001624518,-0.03946288027688495,-0.05962327037694581,-0.0529984625572851,-0.0357537995630589,3.7018931482149565e-17,0.20437769099682465,,0.07611324708263108,,-0.03138956266669032,,0.2100932524715834,-0.03215175831103631,0.04519224045531237,0.22902813515596096,0.08354514241437463,0.20806259464411964,-0.1066003581778051,0.12309149097933283,-0.35168997422666487,0.08528028654224415,-0.35168997422666515,-0.2218421599939606,0.3405766587569795,0.22252289995819002,1.0,0.059708143402653215,0.3370999312316211,0.21286041172311226,0.10550699226799946,-0.3283947887145926
Meat_Fish,-0.09217771979249532,-0.0023838755434215844,-0.009788247823082878,-0.1866154209205958,-0.1044265134821876,-0.1914486080506773,0.04943731138212482,0.0,0.15754308330496042,,-0.028565935650379713,,-0.054976900265446604,,0.18199374203683466,0.24284480717917592,-0.062487984235205754,-0.08595616691913029,0.02194863151303927,-0.06832667180756569,-0.14002800840280097,0.2425356250363331,-0.03464794643376186,-0.028005601680560203,-0.034647946433761866,-0.08499377746907325,0.10625141989893923,0.045672100447455156,0.059708143402653215,1.0,-0.11070186069251192,-0.10625141989893924,-0.034647946433761845,-0.019607843137254905
Meat_Horse,-0.09107288747664331,0.055181376733905746,-0.10223551324828938,0.14047898544281862,-0.18866261656115274,0.33900313913332136,0.06559153625627125,0.11636866703140786,-0.08259233686932618,,0.04435128876059727,,0.0523780261108433,,0.2543481972221012,0.0029805477667972534,-0.08290667046725303,-0.04852908884131366,-0.03407730473277232,0.015430334996209103,1.974843826074394e-17,0.0912870929175277,-0.19561519910898786,0.04743416490252571,-0.02608202654786511,0.14395723049060893,-0.13891812557774844,0.12377054955105524,0.3370999312316211,-0.11070186069251192,1.0,0.3851820754655753,-0.026082026547865005,-0.11070186069251185
Meat_Lamb,0.09201218050333444,0.22980083165088508,0.08933183445185365,0.14488466510579215,-0.00893476945202344,0.31271693082082097,0.05216844425655501,0.0,-0.22190645955991278,,-0.2067311031439121,,0.0352788228304519,,0.031483257499829734,0.08732735388940958,-0.15683049204020935,-0.3186924027338445,-0.04068854140617526,-0.16758688769551808,0.11980845957463074,0.02305714879553582,-0.0164693919968113,-0.1517573821278657,-0.1877510687636489,0.07964678412670884,0.07814992025518341,-0.0234463264709459,0.21286041172311226,-0.10625141989893924,0.3851820754655753,1.0,-0.18775106876364878,-0.10625141989893923
Meat_Pork,-0.1628822035855911,-0.2190456319373166,0.17872819565615408,-0.2259452253770993,-0.07996142982323716,-0.33829835694446475,-0.20965912115148075,-1.6848359723225226e-18,0.18180294522733545,,0.16405122961654994,,-0.16595889709469366,,-0.03690390598127618,-0.09950556925540333,-0.1104190968572932,0.15188843802034144,-0.07110441333758832,0.2978162611900489,-0.24743582965269675,0.0476190476190476,-0.06122448979591836,0.37940160546746826,-0.061224489795918394,-0.15018785229652762,0.016469391996811304,0.08070466898086162,0.10550699226799946,-0.034647946433761845,-0.026082026547865005,-0.18775106876364878,1.0,-0.034647946433761845
Meat_nan,-6.022187504336298e-17,0.0,-3.623772590808396e-17,-7.676460129388512e-17,0.0,-3.221703074868693e-17,-2.745377577087836e-17,0.0,-3.5709230764759154e-17,,7.93168934662603e-17,,-5.08834134337399e-17,,1.656814390872977e-17,-7.817843281860452e-17,-1.3880456356595555e-16,-1.1231437607836667e-16,-6.094312081203615e-17,-0.06832667180756567,-0.1400280084028009,-0.08084520834544431,0.5659164584181102,-0.02800560168056019,-0.03464794643376186,-0.0849937774690732,0.10625141989893924,-0.4293177442060786,-0.3283947887145926,-0.019607843137254905,-0.11070186069251185,-0.10625141989893923,-0.034647946433761845,1.0
